n ioni letti: 4

descrizione di tutti gli ioni: 
-1.2 -1.3 0.2 10
1.4 -1.2 0.3 15
1.3 1.7 0.4 14
-1 2.1 0.5 18
n elettroni letti: 47

descrizione dei primi 5 elettroni: 
2.21 1.93 0 0 1
-0.83 1.06 0 0 1
2.1 0.83 0 0 1
3.14 1.5 0 0 1
1.59 0.36 0 0 1

elettroni catturati: 7

ioni
-1.2 -1.3 0.2 10
1.4 -1.2 0.3 14
1.3 1.7 0.4 12
-1 2.1 0.5 14

elettroni 
2.21 1.93 0 0 1
-0.83 1.06 0 0 1
2.1 0.83 0 0 1
3.14 1.5 0 0 1
1.59 0.36 0 0 1
1.1 1.36 0 0 0
-1.56 -0.09 0 0 1
-0.32 0.29 0 0 1
0.1 -0.54 0 0 1
-0.64 1.32 0 0 1
1.05 1.53 0 0 0
-0.68 2.92 0 0 1
2.37 -1.03 0 0 1
0.26 0.72 0 0 1
1.83 1.33 0 0 1
0.09 2.24 0 0 1
-1.06 2.9 0 0 1
-0.32 1.35 0 0 1
0.07 -0.34 0 0 1
-0.82 1.88 0 0 0
-1.31 1.04 0 0 1
-0.61 0.5 0 0 1
-1.04 1.37 0 0 1
-1.36 2.69 0 0 1
-1.28 2.37 0 0 0
-1.3 2.21 0 0 0
-2.57 2.42 0 0 1
-0.75 2.51 0 0 0
-1.26 0.33 0 0 1
1.22 -1.22 0 0 0
1.66 -0.85 0 0 1
1.56 -0.27 0 0 1
1.8 -0.37 0 0 1
1.65 -1.63 0 0 1
1.5 -1.72 0 0 1
1.83 0.23 0 0 1
1.78 -0.58 0 0 1
2.63 -2.38 0 0 1
1.99 -1.26 0 0 1
2.06 -3.08 0 0 1
1.26 -1.61 0 0 1
1.04 -0.34 0 0 1
1.98 -0.63 0 0 1
1.26 -2.32 0 0 1
1.17 -0.83 0 0 1
0.32 -1.95 0 0 1
1.13 -0.52 0 0 1
